player_name,date,player_hard_elo
Adrian Mannarino,2016-02-22,1608.5624669405995
Adrian Mannarino,2016-02-22,1600.0971890348176
Adrian Mannarino,2016-03-07,1638.1638907696138
Adrian Mannarino,2016-03-07,1631.766449788083
Adrian Mannarino,2016-03-21,1667.4991928598577
Adrian Mannarino,2016-03-21,1653.9260529394835
Adrian Mannarino,2016-07-18,1662.3117076284066
Adrian Mannarino,2016-07-18,1648.994517445435
Adrian Mannarino,2016-08-01,1660.5598888309514
Adrian Mannarino,2016-08-01,1651.129720141141
Adrian Mannarino,2016-08-08,1630.119217704991
Adrian Mannarino,2016-08-15,1624.2559291061598
Adrian Mannarino,2016-08-29,1609.1063733011697
Adrian Mannarino,2016-09-19,1593.7605879097498
Adrian Mannarino,2016-09-26,1603.5515515848354
Adrian Mannarino,2016-09-26,1583.2165612416554
Adrian Mannarino,2016-10-03,1601.0961960458164
Adrian Mannarino,2016-10-03,1597.4804133394566
Adrian Mannarino,2016-10-17,1615.7279425504337
Adrian Mannarino,2016-10-17,1606.7503357015758
Adrian Mannarino,2016-10-24,1599.5058827240937
Adrian Mannarino,2016-10-31,1589.015719208567
Adrian Mannarino,2017-01-09,1578.392267031414
Adrian Mannarino,2017-01-16,1562.7390092247203
Adrian Mannarino,2017-02-06,1542.3143716307134
Adrian Mannarino,2017-02-13,1530.5226593988082
Adrian Mannarino,2017-02-20,1518.9174993140057
Adrian Mannarino,2017-02-27,1535.863026972836
Adrian Mannarino,2017-02-27,1529.0741859670022
Adrian Mannarino,2017-03-06,1551.6804743077105
Adrian Mannarino,2017-03-06,1546.7878216496438
Adrian Mannarino,2017-03-20,1598.9937259597702
Adrian Mannarino,2017-03-20,1593.7225503780826
Adrian Mannarino,2017-07-31,1616.2442367226088
Adrian Mannarino,2017-07-31,1610.6408828894193
Adrian Mannarino,2017-08-07,1628.8729863089932
Adrian Mannarino,2017-08-07,1649.25680365872
Adrian Mannarino,2017-08-14,1667.00759923682
Adrian Mannarino,2017-08-14,1675.207605661832
Adrian Mannarino,2017-08-28,1688.2824892069737
Adrian Mannarino,2017-08-28,1684.051073120684
Adrian Mannarino,2017-09-18,1660.960740023346
Adrian Mannarino,2017-10-02,1670.0475672147802
Adrian Mannarino,2017-10-02,1708.2003493796096
Adrian Mannarino,2017-10-09,1696.6275096453946
Adrian Mannarino,2017-10-16,1708.3996799687293
Adrian Mannarino,2017-10-16,1700.3922504117304
Adrian Mannarino,2017-10-23,1724.000854289407
Adrian Mannarino,2017-10-23,1722.402230679463
Adrian Mannarino,2017-10-30,1740.8365077492656
Adrian Mannarino,2017-10-30,1730.3082454180424
Adrian Mannarino,2018-01-08,1737.2610068018535
Adrian Mannarino,2018-01-08,1735.9346640988413
